siteNumber,longtitude,latitude
958,120.6762009,27.94300079
959,120.657402,27.99580002
967,120.6810989,27.99769974
970,120.6340027,28.00230026
974,121.0222015,28.19750023
987,120.5531998,27.78879929
1003,121.0066986,28.1508007
1008,120.7754974,27.97200012
1010,120.4111023,28.00270081
1012,121.1885986,28.4279995
1027,120.4449005,28.22240067
1030,120.5882034,27.93110085
1038,120.6324005,27.80220032
1048,120.6368027,28.0461998
1049,120.8977966,28.05060005
1068,120.6530991,28.04129982
1072,120.9797974,28.10989952
1073,121.1350021,28.32220078
1091,120.5727997,28.07929993
1096,120.3676987,27.62730026
1102,120.7156982,27.81310081
1104,120.8012009,28.01749992
1110,120.7277985,27.82830048
1121,120.5474014,27.57349968
1122,120.4111023,27.76799965
1131,120.1760025,27.44549942
1133,120.4400024,27.23810005
1138,120.7781982,28.02969933
1144,120.7060013,27.99550056
1145,121.0320969,28.20599937
1150,120.5242004,27.60070038
1151,119.709198,27.55990028
1153,120.4459991,27.54610062
1155,120.5715027,27.56150055
1157,120.4176025,27.63269997
1168,120.6790009,27.97660065
1173,120.8883972,28.00279999
1176,120.5904999,27.71750069
1180,120.6568985,27.95100021
1189,120.4582977,27.59860039
1197,120.4108963,27.51679993
1201,121.139801,28.45400047
1202,120.3677979,27.67350006
1206,120.6324997,27.78650093
1209,120.9582977,28.02969933
1212,120.4291992,27.82780075
1216,120.5809021,28.0237999
1225,120.8035965,28.03420067
1226,120.6440964,27.78310013
1230,120.6679993,28.0053997
1232,121.1353989,28.41589928
1234,120.987999,28.20129967
1237,120.8436966,27.92690086
1238,120.6794968,27.99850082
1242,120.6320038,27.78490067
1258,120.5382996,27.94190025
1261,120.7414017,27.9654007
1272,120.4421005,27.66399956
1277,120.762001,27.83429909
1279,120.6682968,27.83889961
1283,121.1279984,28.34519958
1286,121.0958023,28.30450058
1304,120.6452026,27.77470016
1318,120.6873016,27.79750061
1319,121.1215973,28.30960083
1331,120.5550995,27.59269905
1334,120.5513992,27.97310066
1338,119.9189987,27.4090004
1341,120.7148972,27.88829994
1355,120.6316986,28.01709938
1382,120.9872971,28.0340004
1389,120.5982971,27.74979973
1392,120.6713028,28.15460014
1407,120.6223984,27.78809929
1409,120.6808014,28.02300072
1420,120.6810989,27.98789978
1422,120.6223984,27.78969955
1425,120.6316986,28.01259995
1446,120.6956024,28.00440025
1451,120.8198013,27.91539955
1461,120.5606003,27.4871006
1466,121.1520004,28.39629936
1475,120.6455994,27.98189926
1479,121.1428986,28.41559982
1483,120.6768036,27.97970009
1486,120.6046982,27.71139908
1495,121.1519012,28.39629936
1499,120.376297,27.53590012
1502,120.3226013,27.69059944
1512,121.0429993,28.20630074
1514,120.6868973,28.14970016
1515,120.3195038,27.68059921
1519,120.4260025,27.4734993
1520,120.6199036,27.44650078
1521,120.7200012,28.07939911
1522,120.4135971,27.53960037
1523,120.4009018,27.51409912
1526,120.4004974,27.50690079
1530,119.7677002,27.52249908
1531,120.5705032,27.76639938
1554,120.8281021,28.00620079
1566,121.1620026,28.44389915
1569,120.7968979,27.89319992
1576,120.4700012,27.57299995
1583,120.6420975,27.43829918
1592,120.5710983,28.03919983
1595,120.9667969,28.12459946
1599,120.6866989,27.96559906
1608,120.8697968,28.04899979
1613,120.6138992,27.51350021
1615,120.4891968,28.09259987
1618,120.6355972,27.78030014
1628,120.3180008,27.63999939
1654,120.5915985,28.02459908
1662,120.6804962,27.9904995
1676,120.626503,28.02339935
1680,120.0626984,27.41539955
1703,120.6837006,27.8784008
1706,120.6042023,27.74329948
1708,120.4179001,28.09499931
1716,120.4011002,27.8302002
1721,120.564003,27.57449913
1726,120.7245026,27.97529984
1732,120.8479996,28.0095005
1737,120.469902,27.57329941
1738,120.4729996,27.57040024
1746,120.5930023,27.44890022
1754,121.1480026,28.35569954
1764,120.6535034,28.04850006
1772,120.2866974,27.6711998
1774,120.7656021,27.9904995
1777,120.3795013,27.44099998
1779,120.7101974,27.97330093
1784,120.7902985,27.86129951
1800,120.5180969,27.81410027
1811,121.0298996,28.22039986
1827,120.3701019,27.91189957
1833,120.7860031,27.94409943
1862,120.1889038,27.81889915
1865,120.6744995,27.93309975
1892,120.6501007,28.02599907
1894,121.1250992,28.32889938
1897,121.026001,28.21619987
1903,120.389801,27.50320053
1913,121.0843964,28.21439934
1919,120.9235992,27.99970055
1932,120.523201,27.51029968
1942,120.7228012,27.82830048
1946,120.4973984,27.22089958
1947,120.9218979,28.06220055
1950,120.5814972,27.89459991
1952,121.1565018,27.85000038
1969,119.7723999,27.65670013
1970,120.9524002,28.11879921
1980,120.7014999,27.82089996
1983,120.6865997,28.01099968
1987,120.6039963,27.72509956
1995,120.4440002,28.40159988
1998,120.4850998,28.03219986
1999,120.5774994,28.02939987
2001,120.6501007,28.01119995
2005,120.6804962,27.9864006
2010,120.6232986,27.79829979
2012,120.7284012,27.98999977
2013,120.9626999,28.1201992
2015,120.5631027,27.66449928
2029,120.7692032,27.94409943
2034,121.1894989,28.32600021
2040,120.5737991,27.82920074
2050,120.2809982,27.60070038
2063,121.0455017,28.16550064
2077,120.6019974,27.43490028
2083,120.9856033,28.15880013
2086,120.6471024,28.04059982
2093,120.6920013,28.00320053
2104,121.1716003,28.41589928
2106,120.7754974,27.94860077
2115,120.8262024,27.92490005
2117,120.6794968,27.93670082
2123,121.0920029,28.17149925
2138,120.6567993,27.85899925
2140,120.4805984,28.00629997
2144,120.607399,27.44260025
2147,120.9178009,28.07579994
2151,120.7020035,28.00219917
2165,120.8160019,27.91090012
2167,120.7020035,28.00119972
2172,120.5673981,28.04409981
2180,120.4798965,28.17740059
2212,120.7192001,28.01169968
2217,120.6154022,28.05179977
2218,120.6313019,27.97489929
2220,120.8700027,27.97400093
2221,119.7156982,27.57010078
2233,120.5409012,27.63369942
2235,120.9164963,27.93129921
2240,120.3896027,27.50880051
2241,120.5539017,28.31629944
2246,120.648201,27.93860054
2251,120.6840973,27.8314991
2256,120.4801025,27.58620071
2267,120.7124023,27.93370056
2271,120.6678009,27.93479919
2272,120.4319,27.52610016
2273,120.7049026,28.00419998
2287,121.0271988,28.21710014
2290,120.3995972,27.52260017
2294,121.1309967,28.36090088
2305,120.689003,27.78619957
2324,120.280899,27.76720047
2343,120.6164017,27.6916008
2344,120.6710968,27.77179909
2346,120.7207031,27.9993
2352,120.7524033,27.84569931
2358,120.5753021,28.06500053
2359,120.2388,27.59410095
2360,120.9484024,28.20120049
2372,120.6501999,27.7682991
2375,120.7313995,27.83889961
2382,121.1509018,28.41020012
2387,120.6551971,28.0067997
2390,120.6333008,28.02149963
2398,120.5865021,27.84029961
2399,120.8091965,27.89369965
2400,120.7176971,28.00740051
2415,120.6551971,28.00869942
2433,121.0401001,27.9659996
2434,120.5447998,27.71489906
2447,120.3976974,27.51210022
2454,120.7408981,27.79990005
2456,120.6389999,28.00300026
2468,120.754097,27.83309937
2474,120.825798,27.91640091
2490,120.5859985,27.99309921
2491,120.828598,27.95540047
2503,120.6080017,27.41769981
2507,120.9557037,28.2852993
2508,121.0449982,28.16550064
2509,120.6551971,27.78089905
2520,120.6551971,27.7845993
2523,120.8360977,27.91209984
2526,120.0401993,27.50790024
2539,120.6120987,27.95750046
2546,120.4072037,27.53269958
2548,120.6500015,27.99559975
2551,120.7968979,27.88500023
2553,120.5604019,27.68530083
2558,120.7922974,27.87140083
2565,120.4126968,27.59300041
2569,120.3768997,28.0265007
2585,120.8311005,28.37750053
2586,120.8464966,28.03089905
2588,120.6882019,28.01300049
2590,120.6629028,27.96019936
2597,120.6111984,28.05190086
2600,120.8850021,28.03829956
2602,120.4997025,27.84569931
2604,120.6768036,27.99110031
2607,120.7020035,28.01819992
2612,120.7020035,27.79409981
2613,120.793602,27.87829971
2617,120.7845001,28.01919937
2619,120.5474014,27.58530045
2623,120.2529984,27.61660004
2625,120.6530991,28.02499962
2628,120.6681976,28.0053997
2629,120.7102966,28.00270081
2632,120.6660004,27.95630074
2635,120.8186035,27.93040085
2640,120.6705017,28.00370026
2641,120.6057968,27.43880081
2643,120.5940018,28.03389931
2645,120.6090012,27.59770012
2650,120.5718002,27.62809944
2660,120.7806015,27.82740021
2661,120.3730011,27.49189949
2663,119.939003,27.62730026
2669,120.6471024,28.01819992
2675,120.5830002,28.0571003
2677,120.6529999,28.01740074
2682,120.6681976,28.01070023
2690,120.6871033,28.00860023
2692,120.7305984,27.99239922
2702,120.618103,28.00849915
2705,120.3205032,27.63579941
2740,120.5847015,27.5807991
2766,120.7782974,28.00889969
2772,120.7528992,27.96750069
2774,120.7593994,27.96389961
2776,120.6529999,28.01519966
2780,120.7253036,27.96689987
2782,120.6215973,27.99740028
